Frequency,Magnitude
0,7.1644e-06
0.168228,6.56389e-06
0.336456,5.13543e-06
0.504684,3.58385e-06
0.672913,2.20741e-06
0.841141,8.88232e-07
1.00937,2.67679e-07
1.1776,8.85712e-07
1.34583,8.78404e-07
1.51405,8.57618e-07
1.68228,1.18895e-06
1.85051,1.3584e-06
2.01874,1.32639e-06
2.18697,1.41309e-06
2.35519,1.87181e-06
2.52342,2.65419e-06
2.69165,3.4322e-06
2.85988,3.85166e-06
3.02811,3.82459e-06
3.19633,3.49863e-06
3.36456,2.99511e-06
3.53279,2.38517e-06
3.70102,1.85681e-06
3.86925,1.74631e-06
4.03748,2.29295e-06
4.2057,3.45983e-06
4.37393,4.90433e-06
4.54216,6.12021e-06
4.71039,6.76617e-06
4.87862,6.73143e-06
5.04684,6.01842e-06
5.21507,4.72677e-06
5.3833,3.07245e-06
5.55153,1.42291e-06
5.71976,2.09301e-07
5.88799,4.02519e-07
6.05621,6.07197e-07
6.22444,8.22463e-07
6.39267,1.30342e-06
6.5609,1.92611e-06
6.72913,2.38116e-06
6.89735,2.46453e-06
7.06558,2.25069e-06
7.23381,2.02421e-06
7.40204,1.90589e-06
7.57027,1.73919e-06
7.73849,1.33961e-06
7.90672,6.47734e-07
8.07495,7.06074e-07
8.24318,1.77687e-06
8.41141,2.84234e-06
8.57964,3.95684e-06
8.74786,5.02535e-06
8.91609,5.52675e-06
9.08432,5.1869e-06
9.25255,4.58138e-06
9.42078,4.79071e-06
9.589,5.69918e-06
9.75723,6.34656e-06
9.92546,6.38423e-06
10.0937,5.99756e-06
10.2619,5.16094e-06
10.4301,4.17739e-06
10.5984,4.70511e-06
10.7666,6.28102e-06
10.9348,6.96034e-06
11.1031,6.84818e-06
11.2713,8.14514e-06
11.4395,1.12764e-05
11.6077,1.48456e-05
11.776,1.84661e-05
11.9442,2.16978e-05
12.1124,2.328e-05
12.2807,2.23058e-05
12.4489,1.91428e-05
12.6171,1.50026e-05
12.7853,1.0861e-05
12.9536,6.91304e-06
13.1218,3.26341e-06
13.29,1.28655e-06
13.4583,2.18545e-06
13.6265,2.31527e-06
13.7947,1.63108e-06
13.9629,1.93821e-06
14.1312,3.58524e-06
14.2994,5.56368e-06
14.4676,8.29094e-06
14.6358,1.21131e-05
14.8041,1.60221e-05
14.9723,1.85715e-05
15.1405,1.94106e-05
15.3088,1.93728e-05
15.477,1.87862e-05
15.6452,1.67597e-05
15.8134,1.32341e-05
15.9817,1.05959e-05
16.1499,1.02257e-05
16.3181,9.48706e-06
16.4864,8.22709e-06
16.6546,8.8787e-06
16.8228,9.75485e-06
16.991,9.46911e-06
17.1593,1.04625e-05
17.3275,1.25657e-05
17.4957,1.27848e-05
17.664,1.12327e-05
17.8322,1.0577e-05
18.0004,1.06565e-05
18.1686,1.0178e-05
18.3369,1.13251e-05
18.5051,1.41483e-05
18.6733,1.59057e-05
18.8416,1.66112e-05
19.0098,1.77099e-05
19.178,1.86485e-05
19.3462,1.83276e-05
19.5145,1.76135e-05
19.6827,1.79282e-05
19.8509,1.92057e-05
20.0191,2.14877e-05
20.1874,2.49286e-05
20.3556,2.8379e-05
20.5238,3.07113e-05
20.6921,3.17986e-05
20.8603,3.16621e-05
21.0285,3.00083e-05
21.1967,2.69311e-05
21.365,2.31678e-05
21.5332,1.93321e-05
21.7014,1.5397e-05
21.8697,1.1561e-05
22.0379,8.95955e-06
22.2061,8.70288e-06
22.3743,1.06879e-05
22.5426,1.3893e-05
22.7108,1.73821e-05
22.879,2.10371e-05
23.0473,2.4926e-05
23.2155,2.80883e-05
23.3837,2.92799e-05
23.5519,2.85486e-05
23.7202,2.68872e-05
23.8884,2.43958e-05
24.0566,2.04536e-05
24.2249,1.54977e-05
24.3931,1.09197e-05
24.5613,7.57205e-06
24.7295,6.01896e-06
24.8978,7.19328e-06
25.066,9.01952e-06
25.2342,9.50712e-06
25.4025,8.89577e-06
25.5707,8.00023e-06
25.7389,6.71272e-06
25.9071,4.86476e-06
26.0754,3.06697e-06
26.2436,1.94141e-06
26.4118,1.67081e-06
26.58,2.99905e-06
26.7483,5.13943e-06
26.9165,7.05233e-06
27.0847,8.43338e-06
27.253,9.28614e-06
27.4212,9.42375e-06
27.5894,8.33484e-06
27.7576,5.53985e-06
27.9259,1.68979e-06
28.0941,4.06624e-06
28.2623,8.38588e-06
28.4306,1.24689e-05
28.5988,1.63624e-05
28.767,1.90886e-05
28.9352,1.95506e-05
29.1035,1.81936e-05
29.2717,1.67214e-05
29.4399,1.51838e-05
29.6082,1.19875e-05
29.7764,7.8529e-06
29.9446,6.4423e-06
30.1128,8.18489e-06
30.2811,1.32522e-05
30.4493,2.16669e-05
30.6175,2.97206e-05
30.7858,3.49679e-05
30.954,3.83035e-05
31.1222,4.10768e-05
31.2904,4.20164e-05
31.4587,3.99771e-05
31.6269,3.66761e-05
31.7951,3.3827e-05
31.9633,3.0473e-05
32.1316,2.60312e-05
32.2998,2.22463e-05
32.468,2.01425e-05
32.6363,1.85542e-05
32.8045,1.72557e-05
32.9727,1.69653e-05
33.1409,1.77808e-05
33.3092,1.93665e-05
33.4774,2.04125e-05
33.6456,1.97403e-05
33.8139,1.76778e-05
33.9821,1.47909e-05
34.1503,1.07042e-05
34.3185,5.55478e-06
34.4868,2.37509e-06
34.655,4.24512e-06
34.8232,5.26566e-06
34.9915,6.03202e-06
35.1597,7.24149e-06
35.3279,7.96243e-06
35.4961,8.56219e-06
35.6644,1.0291e-05
35.8326,1.27714e-05
36.0008,1.50311e-05
36.1691,1.69461e-05
36.3373,1.85115e-05
36.5055,1.93025e-05
36.6737,1.93228e-05
36.842,1.91844e-05
37.0102,1.86515e-05
37.1784,1.69979e-05
37.3466,1.52847e-05
37.5149,1.48469e-05
37.6831,1.41318e-05
37.8513,1.24164e-05
38.0196,1.20814e-05
38.1878,1.30283e-05
38.356,1.23985e-05
38.5242,1.00225e-05
38.6925,8.19086e-06
38.8607,8.88091e-06
39.0289,1.18756e-05
39.1972,1.51916e-05
39.3654,1.76544e-05
39.5336,2.07946e-05
39.7018,2.56142e-05
39.8701,3.00427e-05
40.0383,3.25972e-05
40.2065,3.4242e-05
40.3748,3.55733e-05
40.543,3.50414e-05
40.7112,3.19051e-05
40.8794,2.76323e-05
41.0477,2.34009e-05
41.2159,1.91614e-05
41.3841,1.54961e-05
41.5524,1.29161e-05
41.7206,1.035e-05
41.8888,7.88491e-06
42.057,7.89944e-06
42.2253,1.06975e-05
42.3935,1.56018e-05
42.5617,2.04652e-05
42.7299,2.22628e-05
42.8982,2.19648e-05
43.0664,2.42239e-05
43.2346,2.83172e-05
43.4029,3.05412e-05
43.5711,3.2421e-05
43.7393,3.54428e-05
43.9075,3.52068e-05
44.0758,2.95772e-05
44.244,2.49254e-05
44.4122,2.54467e-05
44.5805,2.43141e-05
44.7487,2.31481e-05
44.9169,2.91267e-05
45.0851,3.43368e-05
45.2534,3.32707e-05
45.4216,3.28208e-05
45.5898,3.67072e-05
45.7581,3.6413e-05
45.9263,3.07618e-05
46.0945,2.99845e-05
46.2627,3.33009e-05
46.431,3.07552e-05
46.5992,2.51741e-05
46.7674,2.57604e-05
46.9357,2.64727e-05
47.1039,2.08729e-05
47.2721,1.66857e-05
47.4403,1.9738e-05
47.6086,1.95743e-05
47.7768,1.49752e-05
47.945,1.43357e-05
48.1133,1.6295e-05
48.2815,1.38814e-05
48.4497,8.3753e-06
48.6179,5.70166e-06
48.7862,5.55614e-06
48.9544,4.54661e-06
49.1226,4.62477e-06
49.2908,4.31909e-06
49.4591,2.63135e-06
49.6273,3.07427e-06
49.7955,3.61317e-06
49.9638,1.9347e-06
50.132,3.48836e-06
50.3002,6.40239e-06
50.4684,7.03348e-06
50.6367,6.1702e-06
50.8049,6.29441e-06
50.9731,6.95783e-06
51.1414,6.4909e-06
51.3096,5.72695e-06
51.4778,6.14719e-06
51.646,6.49675e-06
51.8143,5.53518e-06
51.9825,4.07829e-06
52.1507,3.72062e-06
52.319,3.73737e-06
52.4872,3.58856e-06
52.6554,4.90251e-06
52.8236,7.22966e-06
52.9919,9.39519e-06
53.1601,1.18084e-05
53.3283,1.50257e-05
53.4966,1.80059e-05
53.6648,1.93954e-05
53.833,1.93708e-05
54.0012,1.91517e-05
54.1695,1.89118e-05
54.3377,1.7827e-05
54.5059,1.60817e-05
54.6741,1.4859e-05
54.8424,1.39754e-05
55.0106,1.20489e-05
55.1788,9.08943e-06
55.3471,6.52546e-06
55.5153,5.31718e-06
55.6835,5.02718e-06
55.8517,4.79805e-06
56.02,4.44976e-06
56.1882,5.10613e-06
56.3564,6.66903e-06
56.5247,7.50209e-06
56.6929,7.44046e-06
56.8611,7.6797e-06
57.0293,8.59708e-06
57.1976,9.84434e-06
57.3658,1.15054e-05
57.534,1.34046e-05
57.7023,1.47226e-05
57.8705,1.47056e-05
58.0387,1.33057e-05
58.2069,1.09295e-05
58.3752,8.04658e-06
58.5434,5.20727e-06
58.7116,2.87382e-06
58.8799,1.53648e-06
59.0481,2.01062e-06
59.2163,2.86017e-06
59.3845,3.22354e-06
59.5528,3.19982e-06
59.721,3.15828e-06
59.8892,3.21526e-06
60.0574,3.37401e-06
60.2257,4.00614e-06
60.3939,5.23171e-06
60.5621,6.55061e-06
60.7304,7.60704e-06
60.8986,8.36717e-06
61.0668,8.78616e-06
61.235,8.779e-06
61.4033,8.33648e-06
61.5715,7.45833e-06
61.7397,6.3328e-06
61.908,5.40036e-06
62.0762,4.83293e-06
62.2444,4.36285e-06
62.4126,3.81824e-06
62.5809,3.48266e-06
62.7491,3.44528e-06
62.9173,3.19497e-06
63.0856,2.6413e-06
63.2538,2.50425e-06
63.422,2.99787e-06
63.5902,3.31728e-06
63.7585,3.29407e-06
63.9267,3.69576e-06
64.0949,4.58586e-06
64.2632,5.06593e-06
64.4314,5.372e-06
64.5996,6.49122e-06
64.7678,7.78479e-06
64.9361,8.26064e-06
65.1043,8.0474e-06
65.2725,7.74394e-06
65.4408,7.30984e-06
65.609,6.28542e-06
65.7772,5.00127e-06
65.9454,4.35872e-06
66.1137,4.00498e-06
66.2819,3.00531e-06
66.4501,1.52914e-06
66.6183,1.05023e-06
66.7866,1.54319e-06
66.9548,2.51703e-06
67.123,4.24258e-06
67.2913,5.42261e-06
67.4595,5.35785e-06
67.6277,4.90416e-06
67.7959,5.20083e-06
67.9642,5.50471e-06
68.1324,5.32707e-06
68.3006,5.61302e-06
68.4689,6.17599e-06
68.6371,5.66969e-06
68.8053,3.97434e-06
68.9735,2.58505e-06
69.1418,2.90544e-06
69.31,4.10583e-06
69.4782,5.50186e-06
69.6465,6.07378e-06
69.8147,5.17029e-06
69.9829,4.07468e-06
70.1511,4.83373e-06
70.3194,5.55483e-06
70.4876,5.1788e-06
70.6558,5.15874e-06
70.8241,5.67368e-06
70.9923,5.23879e-06
71.1605,3.94927e-06
71.3287,3.4719e-06
71.497,3.44839e-06
71.6652,2.58728e-06
71.8334,2.35652e-06
72.0016,3.51118e-06
72.1699,4.52285e-06
72.3381,5.54989e-06
72.5063,7.15579e-06
72.6746,8.7211e-06
72.8428,9.21391e-06
73.011,8.84658e-06
73.1792,9.19938e-06
73.3475,1.04768e-05
73.5157,1.1515e-05
73.6839,1.31362e-05
73.8522,1.62243e-05
74.0204,1.86741e-05
74.1886,1.92357e-05
74.3568,1.98854e-05
74.5251,2.18096e-05
74.6933,2.31161e-05
74.8615,2.34463e-05
75.0298,2.45036e-05
75.198,2.53979e-05
75.3662,2.36164e-05
75.5344,1.95995e-05
75.7027,1.61324e-05
